GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4127825,"Garden Home-Whitford CDP, Oregon",Black,0.86,0.90,0.04
4127825,"Garden Home-Whitford CDP, Oregon",HIPI,0.00,0.00,0.00
4127825,"Garden Home-Whitford CDP, Oregon",Hispanic,4.74,3.26,-1.48
4127825,"Garden Home-Whitford CDP, Oregon",Native,0.40,0.21,-0.19
4127825,"Garden Home-Whitford CDP, Oregon",Two_races,4.32,6.47,2.14
4127825,"Garden Home-Whitford CDP, Oregon",White,87.68,86.14,-1.54
4128100,"Gaston city, Oregon",Asian,1.08,0.00,-1.08
4128100,"Gaston city, Oregon",Black,0.00,0.00,0.00
4128100,"Gaston city, Oregon",HIPI,0.00,0.00,0.00
4128100,"Gaston city, Oregon",Hispanic,8.42,5.31,-3.12
4128100,"Gaston city, Oregon",Native,0.90,0.00,-0.90
4128100,"Gaston city, Oregon",Two_races,6.45,7.40,0.94
4128100,"Gaston city, Oregon",White,83.15,89.07,5.92
4129000,"Gladstone city, Oregon",Asian,2.82,1.81,-1.01
4129000,"Gladstone city, Oregon",Black,0.92,1.86,0.94
4129000,"Gladstone city, Oregon",HIPI,0.01,0.18,0.17
4129000,"Gladstone city, Oregon",Hispanic,11.22,13.17,1.95
4129000,"Gladstone city, Oregon",Native,0.26,1.10,0.84
4129000,"Gladstone city, Oregon",Two_races,3.21,10.40,7.20
4129000,"Gladstone city, Oregon",White,82.51,75.92,-6.59
4130250,"Government Camp CDP, Oregon",Asian,0.00,0.00,0.00
4130250,"Government Camp CDP, Oregon",Black,5.79,0.00,-5.79
4130250,"Government Camp CDP, Oregon",HIPI,0.00,0.00,0.00
4130250,"Government Camp CDP, Oregon",Hispanic,0.00,0.00,0.00
4130250,"Government Camp CDP, Oregon",Native,0.00,0.00,0.00
4130250,"Government Camp CDP, Oregon",Two_races,0.00,0.00,0.00
4130250,"Government Camp CDP, Oregon",White,94.21,100.00,5.79
4131250,"Gresham city, Oregon",Asian,4.08,4.80,0.72
4131250,"Gresham city, Oregon",Black,4.92,3.91,-1.02
4131250,"Gresham city, Oregon",HIPI,0.66,1.05,0.39
4131250,"Gresham city, Oregon",Hispanic,19.43,20.74,1.32
4131250,"Gresham city, Oregon",Native,0.69,0.72,0.03
4131250,"Gresham city, Oregon",Two_races,5.80,10.41,4.61
4131250,"Gresham city, Oregon",White,65.65,63.30,-2.35
4132050,"Happy Valley city, Oregon",Asian,18.38,19.76,1.37
4132050,"Happy Valley city, Oregon",Black,0.81,0.90,0.10
4132050,"Happy Valley city, Oregon",HIPI,0.23,0.11,-0.12
4132050,"Happy Valley city, Oregon",Hispanic,4.86,6.40,1.53
4132050,"Happy Valley city, Oregon",Native,0.30,0.39,0.08
4132050,"Happy Valley city, Oregon",Two_races,6.30,9.59,3.28
4132050,"Happy Valley city, Oregon",White,70.02,63.57,-6.45
4134100,"Hillsboro city, Oregon",Asian,10.73,11.81,1.08
4134100,"Hillsboro city, Oregon",Black,1.50,2.88,1.38
4134100,"Hillsboro city, Oregon",HIPI,0.52,0.72,0.20
4134100,"Hillsboro city, Oregon",Hispanic,22.72,23.89,1.17
4134100,"Hillsboro city, Oregon",Native,0.30,0.28,-0.01
4134100,"Hillsboro city, Oregon",Two_races,6.52,11.07,4.55
4134100,"Hillsboro city, Oregon",White,59.42,54.25,-5.17
4137400,"Jennings Lodge CDP, Oregon",Asian,2.59,1.42,-1.17
4137400,"Jennings Lodge CDP, Oregon",Black,0.69,1.89,1.20
4137400,"Jennings Lodge CDP, Oregon",HIPI,0.31,0.00,-0.31
4137400,"Jennings Lodge CDP, Oregon",Hispanic,13.38,10.32,-3.06
4137400,"Jennings Lodge CDP, Oregon",Native,1.80,0.21,-1.59
4137400,"Jennings Lodge CDP, Oregon",Two_races,3.92,7.93,4.01
4137400,"Jennings Lodge CDP, Oregon",White,78.48,80.82,2.34
4137650,"Johnson City city, Oregon",Asian,1.46,2.00,0.53
4137650,"Johnson City city, Oregon",Black,0.37,2.00,1.63
4137650,"Johnson City city, Oregon",HIPI,0.00,0.00,0.00
4137650,"Johnson City city, Oregon",Hispanic,17.73,16.63,-1.10
4137650,"Johnson City city, Oregon",Native,0.00,0.67,0.67
4137650,"Johnson City city, Oregon",Two_races,0.73,9.31,8.58
4137650,"Johnson City city, Oregon",White,79.71,78.05,-1.66
4139150,"King City city, Oregon",Asian,2.70,3.33,0.63
4139150,"King City city, Oregon",Black,0.00,3.08,3.08
4139150,"King City city, Oregon",HIPI,0.00,0.00,0.00
4139150,"King City city, Oregon",Hispanic,3.14,9.60,6.46
4139150,"King City city, Oregon",Native,0.86,0.00,-0.86
4139150,"King City city, Oregon",Two_races,1.17,4.33,3.16
4139150,"King City city, Oregon",White,92.14,80.93,-11.21
4140550,"Lake Oswego city, Oregon",Asian,6.16,8.24,2.08
4140550,"Lake Oswego city, Oregon",Black,0.41,0.68,0.27
4140550,"Lake Oswego city, Oregon",HIPI,0.06,0.17,0.12
4140550,"Lake Oswego city, Oregon",Hispanic,4.18,5.47,1.29
4140550,"Lake Oswego city, Oregon",Native,0.13,0.42,0.29
4140550,"Lake Oswego city, Oregon",Two_races,3.36,8.99,5.63
4140550,"Lake Oswego city, Oregon",White,86.00,77.65,-8.35
4146100,"Marlene Village CDP, Oregon",Asian,NA,12.82,NA
4146100,"Marlene Village CDP, Oregon",Black,NA,1.54,NA
4146100,"Marlene Village CDP, Oregon",HIPI,NA,0.00,NA
4146100,"Marlene Village CDP, Oregon",Hispanic,NA,16.88,NA
4146100,"Marlene Village CDP, Oregon",Native,NA,0.00,NA
4146100,"Marlene Village CDP, Oregon",Two_races,NA,5.02,NA
4146100,"Marlene Village CDP, Oregon",White,NA,66.69,NA
4146730,"Maywood Park city, Oregon",Asian,1.17,3.32,2.15
4146730,"Maywood Park city, Oregon",Black,1.28,2.18,0.90
4146730,"Maywood Park city, Oregon",HIPI,0.43,0.00,-0.43
4146730,"Maywood Park city, Oregon",Hispanic,11.61,6.17,-5.44
4146730,"Maywood Park city, Oregon",Native,0.85,0.00,-0.85
4146730,"Maywood Park city, Oregon",Two_races,10.22,4.08,-6.14
4146730,"Maywood Park city, Oregon",White,79.23,86.43,7.20
4147800,"Metzger CDP, Oregon",Asian,6.05,2.10,-3.95
4147800,"Metzger CDP, Oregon",Black,4.66,1.54,-3.12
4147800,"Metzger CDP, Oregon",HIPI,2.75,0.00,-2.75
4147800,"Metzger CDP, Oregon",Hispanic,8.60,17.33,8.73
4147800,"Metzger CDP, Oregon",Native,0.00,0.16,0.16
4147800,"Metzger CDP, Oregon",Two_races,4.84,12.45,7.61
4147800,"Metzger CDP, Oregon",White,74.24,70.53,-3.71
4148650,"Milwaukie city, Oregon",Asian,3.17,2.56,-0.61
4148650,"Milwaukie city, Oregon",Black,1.61,0.95,-0.66
4148650,"Milwaukie city, Oregon",HIPI,0.12,0.09,-0.02
4148650,"Milwaukie city, Oregon",Hispanic,7.52,9.29,1.77
4148650,"Milwaukie city, Oregon",Native,0.51,0.20,-0.31
4148650,"Milwaukie city, Oregon",Two_races,3.36,8.87,5.51
4148650,"Milwaukie city, Oregon",White,84.41,80.63,-3.78
4149450,"Molalla city, Oregon",Asian,1.03,0.94,-0.08
4149450,"Molalla city, Oregon",Black,0.03,0.17,0.14
4149450,"Molalla city, Oregon",HIPI,0.00,0.00,0.00
4149450,"Molalla city, Oregon",Hispanic,15.25,8.42,-6.83
